scope,method,rmse,runtime_seconds,energy_kwh,carbon_kg_co2e
alongtrack,gp,0.2032238016323201,9.695281912889186,0.0001454292286933378,6.907888362933545e-05
alongtrack,linear,0.2177301232946119,3.991311091845596e-05,5.986966637768394e-10,2.8438091529399875e-10
gridded,gp_subset,0.03293770576285707,78.42184307633336,0.0011763276461450006,0.0005587556319188753
gridded,idw_knn,0.03531488094949437,0.13677038899974528,2.0515558349961794e-06,9.74489021623185e-07
gridded,linearND,0.0388402044636974,2.755384705000324,4.133077057500486e-05,1.963211602312731e-05
