dataset,path,file_format,size_mb,used_for,provenance,upstream_preprocessing,primary_fields,notebook_processing_scope
df_GPOD.csv,/home/developer/ubuntu/project/ai/final/project/data/df_GPOD.csv,CSV,169.89,trajectory-wise reconstruction + EDA,processed from Sentinel-3A/3B and CryoSat-2 Arctic altimetry observations,"coordinate/time harmonization, schema standardization, QC filtering","x,y,t,lon,lat,date,SAT,track,class,elevation",column selection + key-null filtering + experiment split
gridded_freeboard_arctic.h5:/preds,/home/developer/ubuntu/project/ai/final/project/data/gridded_freeboard_arctic.h5,HDF5 table,142.72,spatial-field reconstruction + recoverability analysis,processed from Sentinel-3A/3B and CryoSat-2 Arctic altimetry observations,spatial prediction gridding and uncertainty-field export,"f*,f*_var,pred_loc_x,pred_loc_y,pred_loc_t",column selection + key-null filtering + experiment split
