gap_ratio,method,mae,rmse,r2,runtime_seconds,avg_power_watts,pue,carbon_intensity_g_per_kwh,energy_kwh,carbon_kg_co2e
0.1,linearND,0.014806087349848247,0.0396620208438496,0.759354196284287,2.755976067001029,45.0,1.2,475.0,4.1339641005015436e-05,1.9636329477382334e-05
0.1,idw_knn,0.01419085792624581,0.03592057658429991,0.8026145143440357,0.10112329000003228,45.0,1.2,475.0,1.5168493500004842e-06,7.2050344125023e-07
0.1,gp_subset,0.015525374364525949,0.03331305592193616,0.8298036405489947,69.01160381900081,45.0,1.2,475.0,0.0010351740572850123,0.0004917076772103808
0.2,linearND,0.014453005590192067,0.03865687055466253,0.7685990305317599,2.8797671800002718,45.0,1.2,475.0,4.319650770000408e-05,2.0518341157501936e-05
0.2,idw_knn,0.013939403109771115,0.03519578054973174,0.8081803958888599,0.14547867299916106,45.0,1.2,475.0,2.182180094987416e-06,1.0365355451190226e-06
0.2,gp_subset,0.01544653416401422,0.03452413737369343,0.8148165724635552,79.70467298099902,45.0,1.2,475.0,0.0011955700947149854,0.0005678957949896181
0.3,linearND,0.014248018683793327,0.03820172199258008,0.7757814812042119,2.6304108679996716,45.0,1.2,475.0,3.9456163019995076e-05,1.874167743449766e-05
0.3,idw_knn,0.013781243264582852,0.03482828571445148,0.8136326641880582,0.16370920400004252,45.0,1.2,475.0,2.4556380600006376e-06,1.1664280785003027e-06
0.3,gp_subset,0.014084912959673616,0.030975923992941617,0.8453987482788771,86.54925242900026,45.0,1.2,475.0,0.0012982387864350039,0.0006166634235566269
