date,sat,track,gap_ratio,n_points,method,mae,rmse,r2,runtime_seconds,avg_power_watts,pue,carbon_intensity_g_per_kwh,energy_kwh,carbon_kg_co2e,scope
20190115.0,CS2,393.0,0.1,2400.0,linear,0.1137082934793414,0.1648701994213259,0.24494557390570948,3.630199898907449e-05,45.0,1.2,475.0,5.445299848361173e-10,2.5865174279715573e-10,alongtrack
20190115.0,CS2,393.0,0.1,2400.0,gp,0.1297287615020029,0.17762586448550785,0.12359198543384886,6.715544368000337,45.0,1.2,475.0,0.00010073316552000506,4.784825362200241e-05,alongtrack
20190115.0,CS2,393.0,0.2,2400.0,linear,0.13715769057992275,0.40976926152455856,-1.1501768063666846,3.66019994544331e-05,45.0,1.2,475.0,5.490299918164965e-10,2.607892461128358e-10,alongtrack
20190115.0,CS2,393.0,0.2,2400.0,gp,0.15484007850191786,0.2693848713762867,0.07073020082135784,11.104299484999501,45.0,1.2,475.0,0.0001665644922749925,7.911813383062144e-05,alongtrack
20190115.0,CS2,393.0,0.3,2400.0,linear,0.12120523388846662,0.2594280703811251,-0.014126191511641073,3.100200046901591e-05,45.0,1.2,475.0,4.650300070352387e-10,2.2088925334173835e-10,alongtrack
20190115.0,CS2,393.0,0.3,2400.0,gp,0.16932776697436364,0.2576454206303896,-0.00023701924580743494,4.890656449000744,45.0,1.2,475.0,7.335984673501115e-05,3.48459271991303e-05,alongtrack
20190113.0,CS2,343.0,0.1,2400.0,linear,0.11022100101536154,0.1533771652973775,0.3513313294551845,6.050299998605624e-05,45.0,1.2,475.0,9.075449997908435e-10,4.310838749006507e-10,alongtrack
20190113.0,CS2,343.0,0.1,2400.0,gp,0.11788615206728605,0.15963001255725234,0.2973636646983743,5.519053613001233,45.0,1.2,475.0,8.27858041950185e-05,3.932325699263378e-05,alongtrack
20190113.0,CS2,343.0,0.2,2400.0,linear,0.11156900583004123,0.1641836746275989,0.2346281878674732,2.8899999961140566e-05,45.0,1.2,475.0,4.3349999941710847e-10,2.059124997231265e-10,alongtrack
20190113.0,CS2,343.0,0.2,2400.0,gp,0.12224515162825082,0.17493327863520183,0.13112481832972556,16.699786696000956,45.0,1.2,475.0,0.00025049680044001435,0.00011898598020900682,alongtrack
20190113.0,CS2,343.0,0.3,2400.0,linear,0.10581773251597472,0.15623284229889692,0.3244925068017489,3.080199894611724e-05,45.0,1.2,475.0,4.6202998419175856e-10,2.194642424910853e-10,alongtrack
20190113.0,CS2,343.0,0.3,2400.0,gp,0.12200920528215005,0.1674531617890822,0.223981262884956,8.3379708880002,45.0,1.2,475.0,0.000125069563320003,5.9408042577001425e-05,alongtrack
20190111.0,CS2,291.0,0.1,2400.0,linear,0.11580239257593407,0.20824651252212784,0.15138043933988277,1.8001001080847345e-05,45.0,1.2,475.0,2.700150162127102e-10,1.2825713270103736e-10,alongtrack
20190111.0,CS2,291.0,0.1,2400.0,gp,0.1262405898738321,0.2146693553754458,0.09822608581885106,7.737961983000787,45.0,1.2,475.0,0.00011606942974501181,5.513297912888061e-05,alongtrack
20190111.0,CS2,291.0,0.2,2400.0,linear,0.11794466135165307,0.24346295088508926,-0.12720367697881452,7.430400000885129e-05,45.0,1.2,475.0,1.1145600001327694e-09,5.294160000630655e-10,alongtrack
20190111.0,CS2,291.0,0.2,2400.0,gp,0.11657350819101507,0.23191821993599762,-0.022836863047771994,15.571994055999312,45.0,1.2,475.0,0.00023357991083998968,0.0001109504576489951,alongtrack
20190111.0,CS2,291.0,0.3,2400.0,linear,0.10977843757321654,0.20000043269340703,-0.8340282273207777,4.28019993705675e-05,45.0,1.2,475.0,6.420299905585125e-10,3.0496424551529344e-10,alongtrack
20190111.0,CS2,291.0,0.3,2400.0,gp,0.11088525127809443,0.17575402990571679,-0.41629828338327046,10.680269677999604,45.0,1.2,475.0,0.00016020404516999407,7.609692145574719e-05,alongtrack
,,,0.1,,linearND,0.014806087349848247,0.0396620208438496,0.759354196284287,2.755976067001029,45.0,1.2,475.0,4.1339641005015436e-05,1.9636329477382334e-05,gridded
,,,0.1,,idw_knn,0.01419085792624581,0.03592057658429991,0.8026145143440357,0.10112329000003228,45.0,1.2,475.0,1.5168493500004842e-06,7.2050344125023e-07,gridded
,,,0.1,,gp_subset,0.015525374364525949,0.03331305592193616,0.8298036405489947,69.01160381900081,45.0,1.2,475.0,0.0010351740572850123,0.0004917076772103808,gridded
,,,0.2,,linearND,0.014453005590192067,0.03865687055466253,0.7685990305317599,2.8797671800002718,45.0,1.2,475.0,4.319650770000408e-05,2.0518341157501936e-05,gridded
,,,0.2,,idw_knn,0.013939403109771115,0.03519578054973174,0.8081803958888599,0.14547867299916106,45.0,1.2,475.0,2.182180094987416e-06,1.0365355451190226e-06,gridded
,,,0.2,,gp_subset,0.01544653416401422,0.03452413737369343,0.8148165724635552,79.70467298099902,45.0,1.2,475.0,0.0011955700947149854,0.0005678957949896181,gridded
,,,0.3,,linearND,0.014248018683793327,0.03820172199258008,0.7757814812042119,2.6304108679996716,45.0,1.2,475.0,3.9456163019995076e-05,1.874167743449766e-05,gridded
,,,0.3,,idw_knn,0.013781243264582852,0.03482828571445148,0.8136326641880582,0.16370920400004252,45.0,1.2,475.0,2.4556380600006376e-06,1.1664280785003027e-06,gridded
,,,0.3,,gp_subset,0.014084912959673616,0.030975923992941617,0.8453987482788771,86.54925242900026,45.0,1.2,475.0,0.0012982387864350039,0.0006166634235566269,gridded
