date,sat,track,gap_ratio,n_points,method,mae,rmse,r2,runtime_seconds,avg_power_watts,pue,carbon_intensity_g_per_kwh,energy_kwh,carbon_kg_co2e
20190115,CS2,393,0.1,2400,linear,0.1137082934793414,0.1648701994213259,0.24494557390570948,3.630199898907449e-05,45.0,1.2,475.0,5.445299848361173e-10,2.5865174279715573e-10
20190115,CS2,393,0.1,2400,gp,0.1297287615020029,0.17762586448550785,0.12359198543384886,6.715544368000337,45.0,1.2,475.0,0.00010073316552000506,4.784825362200241e-05
20190115,CS2,393,0.2,2400,linear,0.13715769057992275,0.40976926152455856,-1.1501768063666846,3.66019994544331e-05,45.0,1.2,475.0,5.490299918164965e-10,2.607892461128358e-10
20190115,CS2,393,0.2,2400,gp,0.15484007850191786,0.2693848713762867,0.07073020082135784,11.104299484999501,45.0,1.2,475.0,0.0001665644922749925,7.911813383062144e-05
20190115,CS2,393,0.3,2400,linear,0.12120523388846662,0.2594280703811251,-0.014126191511641073,3.100200046901591e-05,45.0,1.2,475.0,4.650300070352387e-10,2.2088925334173835e-10
20190115,CS2,393,0.3,2400,gp,0.16932776697436364,0.2576454206303896,-0.00023701924580743494,4.890656449000744,45.0,1.2,475.0,7.335984673501115e-05,3.48459271991303e-05
20190113,CS2,343,0.1,2400,linear,0.11022100101536154,0.1533771652973775,0.3513313294551845,6.050299998605624e-05,45.0,1.2,475.0,9.075449997908435e-10,4.310838749006507e-10
20190113,CS2,343,0.1,2400,gp,0.11788615206728605,0.15963001255725234,0.2973636646983743,5.519053613001233,45.0,1.2,475.0,8.27858041950185e-05,3.932325699263378e-05
20190113,CS2,343,0.2,2400,linear,0.11156900583004123,0.1641836746275989,0.2346281878674732,2.8899999961140566e-05,45.0,1.2,475.0,4.3349999941710847e-10,2.059124997231265e-10
20190113,CS2,343,0.2,2400,gp,0.12224515162825082,0.17493327863520183,0.13112481832972556,16.699786696000956,45.0,1.2,475.0,0.00025049680044001435,0.00011898598020900682
20190113,CS2,343,0.3,2400,linear,0.10581773251597472,0.15623284229889692,0.3244925068017489,3.080199894611724e-05,45.0,1.2,475.0,4.6202998419175856e-10,2.194642424910853e-10
20190113,CS2,343,0.3,2400,gp,0.12200920528215005,0.1674531617890822,0.223981262884956,8.3379708880002,45.0,1.2,475.0,0.000125069563320003,5.9408042577001425e-05
20190111,CS2,291,0.1,2400,linear,0.11580239257593407,0.20824651252212784,0.15138043933988277,1.8001001080847345e-05,45.0,1.2,475.0,2.700150162127102e-10,1.2825713270103736e-10
20190111,CS2,291,0.1,2400,gp,0.1262405898738321,0.2146693553754458,0.09822608581885106,7.737961983000787,45.0,1.2,475.0,0.00011606942974501181,5.513297912888061e-05
20190111,CS2,291,0.2,2400,linear,0.11794466135165307,0.24346295088508926,-0.12720367697881452,7.430400000885129e-05,45.0,1.2,475.0,1.1145600001327694e-09,5.294160000630655e-10
20190111,CS2,291,0.2,2400,gp,0.11657350819101507,0.23191821993599762,-0.022836863047771994,15.571994055999312,45.0,1.2,475.0,0.00023357991083998968,0.0001109504576489951
20190111,CS2,291,0.3,2400,linear,0.10977843757321654,0.20000043269340703,-0.8340282273207777,4.28019993705675e-05,45.0,1.2,475.0,6.420299905585125e-10,3.0496424551529344e-10
20190111,CS2,291,0.3,2400,gp,0.11088525127809443,0.17575402990571679,-0.41629828338327046,10.680269677999604,45.0,1.2,475.0,0.00016020404516999407,7.609692145574719e-05
